시군구,행정구역,story
종로구,이화동,"종로구 이화동은 대학가 지역으로 유명하다. 이화여자대학교를 비롯한 여러 대학들이 주변에 위치하고 있기 때문에 주요 유동인구는 20대와 30대가 주를 이루며, 교육형 성향이 높은 지역이다. 소비 특성은 의료형, 생활서비스형, 교육형, 유통형 등이 높은 편이다. 지역 내 높은 학업적 경쟁력과 중심 위치에 따라 주변 상권은 교수님들 및 대학생들을 위한 교육 기관, 도서관 및 카페 등이 위치하고 있으며 주변에는 인근 관광지인 경복궁과 창덕궁 등도 위치해 있어 외국인들의 방문도 매우 많다. 소득 수준은 중상위권의 수준이며, 대체로 주거지와 복합 상업 건물들이 위치해 있는 번화가이다. 배후 시설로는 대학가이므로 대체로 중소규모의 맛집, 카페, 서점 등이 위치하고 있으며 교통 시설로는 지하철 2호선과 4호선이 근접해 있어 대중교통이 매우 편리하다. 종로구 이화동은 대학가에 위치한 가운데 다양한 즐길거리와 맛집, 문화계 이색 공간들이 있어 새로운 문화와 트렌드를 즐길 수 있는 지역으로 꾸준한 발전이 이루어지고 있다."
종로구,혜화동,"종로구 혜화동은 대학가와 번화가가 위치한 동으로 유동인구 규모가 매우 크며, 20~30대가 주를 이룬다. 배후 시설로는 전통적인 시장과 맛집, 카페 등 생활 서비스 업체들이 많아 생활서비스형 성향이 높은 지역이다. 하지만, 주변에 대규모 병원이 많은 데다가 의료관광지로 유명하여 의료형 소비성향도 두드러진다. 또한, 주변에는 명곡사거리와 같이 교통 중심지상권도 위치해 교통시설은 대체적으로 우수하다. 해당 지역의 소득수준은 중소득으로 산업은 대체로 서비스업과 중소기업이 주를 이루고 있다. 이처럼 혜화동은 대학가, 번화가, 의료관광지 등으로 유변성이 강하며, 배후 시설과 교통시설이 우수함에 따라 다양한 분야에서 성공 가능성을 보이는 상권이라 할 수 있다."
종로구,창신1동,"종로구 창신1동은 전통적인 시장과 아름다운 한옥마을이 위치한 지역으로, 중소규모의 상점들과 관광지가 함께 자리한 지역이다. 주로 중, 노년층이 많이 거주하며, 유동인구의 경우 여행객이나 관광객, 그리고 지역 주민 등 다양한 층이 포진하여 소형에서 중형까지의 규모를 지니는 지역이다. 상권 특성상 관광객이 많아 의료형보다는 여가-오락형에 가까운 소비 성향을 보인다. 이 지역의 소득 수준은 대체로 중하위권으로 나타난다. 또한, 배후 시설은 초등학교, 중학교, 초등학교가 주로 위치해 있으며, 가까운 지하철 4호선과 6호선을 이용할 수 있다. 교통 시설은 구 내 교통이 개선되어 있어 교통중심지상권에 속한다고 볼 수 있다. 경쟁 환경은 저그레이드 가게와 하우스, 호스텔 등 초고수익률을 가져가는 업소 등 복합적인 상권 구조로 바뀌어가고 있으며, 비교적 평화로운 경쟁 환경이 이루어지고 있다."
종로구,창신2동,"종로구 창신2동은 주로 주거 지역으로 큰 상업시설이나 유흥업소가 적은 편이다. 유동인구는 40대 이상과 아이들을 동반한 가족들이 주를 이루며, 주변에는 학교나 병원, 교회 등 대체로 예비 부모님들이 이용하는 시설들이 위치하고 있다. 따라서 창신2동은 생활서비스형 성향이 높은 편이며, 주요 소비 품목은 육류나 그 외 일상적인 식료품들이 높은 비중을 차지한다. 해당 지역의 소득 수준은 중하위권에 속하며, 교통시설은 지하철 4호선과 버스 노선이 다양하게 운행되고 있으나, 자가용을 이용하는 경우 교통체증이 발생하는 경우가 많다. 창신2동은 주로 주거 지역이기 때문에 경쟁 환경 또한 그다지 과열되지 않았으며, 주변 상권들은 주로 주민들이 필요로 하는 생필품이나 일상적인 생활용품 등을 파는 소규모 마트나 편의점, 세탁소 등이 대다수이다."
종로구,창신3동,"종로구 창신3동은 대부분 주택가와 성인 교육기관이 위치하고 있는 지역으로 유동인구 규모는 중소형으로, 40대 이상의 주 연령층이 주를 이루며, 생활서비스형과 교육형 소비성향이 두드러지는 지역이다. 밀집된 주택가중심으로 인해 상권이 활성화 된 상태가 아니며, 소득 수준은 중하위권으로 낮은 편이다. 배후 시설은 작은 상점과 카페, 식당들이 주를 이루며, 대부분 걸어서 이용할 수 있는 조용한 지역으로 평화로운 분위기를 느낄 수 있다. 교통 시설은 버스가 다수 운행되고 있으며, 김종식역, 동묘앞역이 도보로 15분 이내에 위치하고 있다. 경쟁 환경은 주변 상권과 비교해 낮은 편으로 평온한 분위기 속에서 자신의 삶을 멋있게 꾸려나가는 고객층이 많이 방문하는 지역으로 판단할 수 있다."
종로구,숭인1동,"종로구 숭인1동은 서울시 중심부에 위치하며, 전통적인 한옥과 궁궐이 위치해 있는 관광지 지역으로 유명하다. 유동인구는 외국인 관광객을 비롯하여, 지역 주민과 출퇴근하는 직장인 등 다양하다. 주로 30대부터 50대까지의 연령대가 많으며, 주로 생활서비스형과 교육형 소비성향을 보인다. 주변 상권은 대학가 지역이 가까이 있어 교육 업계나 서적, 전통적인 한국 문화계, 그리고 음식점, 카페 등의 편의시설이 많은 편이다. 해당 지역의 배후시설은 대체로 주택가 위주로 위치해 있으며, 교통 시설은 지하철 4호선, 6호선 등 수도권 전철이 위치하고 있어 대중교통이 편리하다. 소득 수준은 중고소득 밀집 권역이며, 경쟁 환경은 대체로 비경쟁적인 편이다. 이러한 특성으로 종로구 숭인1동은 역사와 전통문화를 즐기는 관광객뿐만 아니라, 지역 주민과 직장인들의 생활속에서 중요한 역할을 하는 지역으로 판단된다."
종로구,숭인2동,"종로구 숭인2동은 역사와 문화가 유난히 풍부한 지역으로, 관광객들이 자주 찾는 곳 중 하나이다. 주로 50대 이상의 연령대가 많이 거주하며, 주변에 국립극장, 국립중앙박물관, 서울시립미술관 등 문화시설이 많아 숙박업이 많이 발달한 지역이다. 유동인구는 대부분 이들 문화 시설을 즐기기 위해 방문하는 관광객과 주민들이 주를 이루며, 소비 특성은 주로 문화 관련 상품쇼핑과 음식점에서 즐기는 외식형 성향을 보인다. 해당 지역의 소득 수준은 중상위권에 해당하며, 주변에는 주택가와 다양한 문화시설이 주를 이루어 배후시설로도 매우 풍부하다. 교통 시설은 지하철 4호선을 비롯한 다양한 버스노선이 운행되며, 교통중심지에 위치하여 교통과 이동이 간결하다는 이점이 있다. 한편, 경쟁 환경은 비교적 덜 경쟁적인 편이나, 이 지역만의 독특한 매력과 역사적인 가치를 살린 매장들이 입점하고 있어 관광객과 주민들에게 꾸준한 인기를 끌어내고 있다."
중구,소공동,"중구 소공동은 대부분 고급 일반상점, 디자이너 브랜드 가게, 그리고 고급 주거지역으로 구성된 상권입니다. 해당 지역의 유동인구는 대부분 중장년층이며, 소득 수준은 중상위권의 고소득층이 많이 거주하고 있는 지역입니다.

주요 소비 특성은 여가-오락형, 의료형, 생활서비스형 등 다양하며, 특히 가구당 지출금액이 높은 독서와 관련된 제품과 서비스를 위한 서점, 카페, 다양한 컨셉과 쇼핑 브랜드가 입점한 디자인건축물, 갤러리, 박물관 등이 위치합니다.

배후 시설은 대체로 상쾌한 공기와 발걸음으로 도보로 이동이 가능한 지역으로, 고급 주거지역이 대부분입니다. 교통 시설은 서울 중심지에 위치하면서 지하철, 버스 등 대중교통 수단이 잘 발달하고, 근처에 서울역이 위치해 있어 교통의 편리성이 높은 것이 특징입니다.

경쟁 환경은 비교적 경쟁이 높은 편이며, 특히 국제 럭셔리 브랜드들이 밀집되어 있어 그들과 경쟁할 만한 명성이나 브랜드력이 필요합니다. 따라서 소공동의 입점 상점들은 브랜드와 서비스의 차별성을 강조하고 창의적인 서비스와 마케팅 전략을 구사하는 것이 중요합니다."
중구,회현동,"중구 회현동은 서울의 중심지에 위치하고 있으며, 대중교통이 발달하여 유동인구가 매우 밀집한 곳이다. 유동인구의 연령대는 대체로 20대와 30대가 주를 이루며, 소비특성은 외식형 소비와 생활서비스형이 높은 편이다. 소득 수준은 중간 이상의 계층이 많고, 교통 시설은 지하철 1, 2, 4호선이 지나가는 교통중심지상권으로, 대중교통이 발달된 지역이다. 

배후 시설은 대체로 오피스 건물과 번화가가 함께 존재해 상업시설이 밀집한 지역으로 생활 서비스업체와 음식점, 카페 등 소비자들의 니즈를 충족시킬 수 있는 다양한 매장들이 입점하고 있어, 여가-오락형 소비가 높은 지역으로 판단한다. 

경쟁 환경은 번화가에 위치하여 경쟁과열이 높은 편이며, 인구 밀도가 높아 새로운 업종이나 방식을 도입하여 차별화된 매장이 요구된다. 더불어, 국내외 관광객들이 많이 찾는 지역이므로 서비스의 질과 다양성, 외국인을 위한 다국어 서비스 및 매장 분위기 등 다양한 측면에서의 경쟁이 요구된다."
중구,명동,"중구 명동은 국내 최고의 관광 지역으로 유명하며, 유래있는 한복 문화와 패션 문화의 중심지로 자리하고 있다. 유동인구는 매우 밀집하며, 대체로 20대와 30대가 주를 이루고 있다. 유동인구는 대부분 외식형과 여가-오락형 소비성향을 가지고 있으며, 명동의 상권은 소형으로 분류된다. 해당 지역의 소득 수준은 중상위권으로 상승하는 추세이며, 교통 시설은 지하철 4호선을 비롯한 대중교통 수단들이 밀집하여 혼잡한 교통 환경에서 불편함이 느껴질 수 있다. 배후 시설은 대체로 번화가와 주택가로 구성되어 있으며, 명동 자체에서도 다양한 상점들이 밀집하게 위치하고 있어 쇼핑과 외식, 문화생활 등이 긴밀한 관계를 이루고 있다. 경쟁 환경은 이른바 '명동 새로운 길' 정비 등으로 주변 지역과의 경쟁이 엿보이며, 중량감 있는 브랜드 선호도가 높은 소비자층이 많아 브랜드 입점점도 매우 높은 편이다."
중구,필동,"중구 필동은 서울 중심부에 위치한 지역으로, 국내 유명 상권 중 하나로 대형 쇼핑몰과 유흥시설 등이 밀집한 지역입니다. 유동인구는 주로 20대와 30대가 주를 이루며, 대형 유흥 및 외식 즉, 여가-오락형 소비성향이 높은 편입니다. 해당 지역의 소득 수준은 중상위권에 해당하며, 배후시설은 대체로 번화가 중심에 위치한 편입니다. 또한, 교통 수단은 지하철 1, 2, 6호선 등의 다양한 교통수단이 있으며, 자동차로 출퇴근하는 사람들도 많아 교통이 매우 혼잡합니다. 경쟁 환경은 경쟁과열에 해당하며, 비즈니스 및 쇼핑 등 다양한 목적으로 많은 유저들이 이용하는 대표적인 상권 중 하나입니다. 이러한 특징들로 인해, 필동은 대표적인 번화가 중심지로서, 높은 상업성과 다양한 문화 시설을 가진 상권으로 평가되고 있습니다."
중구,장충동,"중구 장충동은 대기업 본사나 지하상가 등으로 차별화되는 쇼핑과 엔터테인먼트 중심지로써, 유동인구가 매우 많은 곳이다. 대부분의 유동인구는 20대와 30대가 주를 이루며, 여가-오락형과 의료형 소비성향이 높은 편이다. 이 지역의 소득 수준은 중상위권이며, 교통 시설은 지하철 2호선과 4호선 등 다양한 교통수단이 운행되어 대중교통 이용이 매우 적합한 지역이다. 배후 시설은 번화가 위주일 뿐만 아니라, 대학가와 공원도 근처에 있어 교육형이나 여가-오락형 소비성향도 나타나고 있다. 경쟁 환경은 경쟁과열로, 매우 경쟁력이 높은 편이다. 수많은 대규모 복합영화관과 쇼핑몰, 레스토랑 등 많은 상권들이 입점하고 있어, 대체로 소비자들이 우수한 품질의 제품과 서비스에 대한 높은 수요를 가지고 있다."
중구,광희동,"중구 광희동은 대형 상업시설과 유흥업소가 위치한 번화가 지역으로 유동인구가 매우 밀집한 곳이다. 대부분의 유동인구는 20대와 30대가 주를 이루며, 여가-오락형 소비성향이 높은 편이다. 해당 지역의 소득 수준은 중상위권이며, 교통 시설은 지하철 2호선과 4호선, 경의선 등 다양한 교통 수단이 운행되어 서울시 내에서 매우 편리한 지역으로 평가된다. 

배후 시설로는 대체로 오피스와 주거지가 혼재한 지역으로, 생활서비스형과 교육형 성향이 높은 지역으로 판단한다. 광희동은 세계적인 쇼핑 도시인 동대문과 인접해 있어, 동대문에 입점한 패션사들이 광희동에도 많이 진출하고 있다. 따라서 경쟁 환경은 매우 경쟁과열로 높은 편이며, 특히 패션 쇼핑몰이 많아 유통형 성향이 높은 지역으로 평가된다. 쇼핑 뿐만 아니라, 다양한 문화공간도 많이 있어 국내외 관광객들이 방문하는 대표적인 명소 중 하나이다."
중구,을지로동,"중구 을지로동은 국내 유명 대형 백화점, 쇼핑몰, 면세점 등 대형 상업시설과 함께 수많은 중소규모 종합 상점들이 모여있는 지역으로, 전통적인 외식 문화가 있는 곳이다. 유동인구는 주로 20대, 30대 및 중장년 연령층이 많으며, 외식형 소비성향이 높다. 해당 지역을 중심으로 한 대학가, 교육 서비스 업체 및 대규모 오피스 요지가 위치하여 교육형 및 유통형 성향도 함께 강하다. 이에 따라 소득수준은 중상위권에 속하며, 주거지와는 거리가 떨어져 있기 때문에 역세권, 번화가 중심으로 형성된 배후 시설로 구성되어 있다. 교통 시설은 지하철 2호선 및 5호선, 그리고 버스노선의 중심지로서 교통 접근성이 매우 우수하다. 경쟁 환경은 매우 경쟁과열이며, 다양한 업종과 매장들이 서로 경쟁하고 있으나 그만큼 다양한 상품과 서비스를 제공하는 문화가 활성화되어 있다."
중구,신당동,"중구 신당동은 고층 아파트와 상가가 혼재되어 있는 지역으로 유동인구는 중소형인 것으로 추정된다. 대체로 30~50대의 연령대가 많으며, 외식 및 생활서비스 소비성향이 높은 편이다. 해당 지역의 주변에는 대학이나 병원과 같은 중요한 배후 시설이 존재하지 않아, 대체로 순수 상권으로만 이루어져 있다. 소득 수준은 중하위권으로 분류되며, 대체로 지하철 2, 5호선 등 교통 수단이 매우 잘 이용되어 편리하다. 배후 시설은 대체로 음식점, 카페, 미용실, 일반 가게 등의 상업시설들이 위치하고 있어 생활 서비스형 성향이 강하다. 또한, 교통 상권으로 분류될 수 있으며, 지하철 2, 5호선의 승하차 인원이 매우 많아 교통 수요가 높은 지역으로 판단된다. 경쟁 환경은 비교적 완화된 편이다."
중구,다산동,"중구 다산동은 서울의 역사적인 중심지인 종로구와 인접한 지역으로, 다양한 역사 문화 유산들이 존재하는 지역이다. 유동인구는 대체로 중장년층과 노년층이 많이 분포하며, 주로 의료서비스나 금융서비스 등의 업종을 이용하는데, 이는 중소기업 혹은 개인사업장이 많기 때문이다. 소득 수준은 다소 저소득층이 많은 편이며, 주변에는 대학교나 대규모 상업시설이 존재하지 않아 배후 시설의 부족함이 있어 중소규모의 업종들이 주를 이루고 있다. 또한, 지역 내 교통 시설은 대중교통(지하철, 버스)이 잘 확보되어 있으며, 고속도로나 대형 버스터미널도 가까운 거리에 위치하고 있어 편리성이 높다. 경쟁 환경은 다산로와 중앙로를 중심으로 경쟁이 치열하며, 개인 브랜드나 사업모델을 강조하는 업종들이 입점하고 있다. 이러한 특징들을 종합하여 볼 때, 다산동은 중소기업 체질이 강하며 위치상 이동성이 높은 시장에서 경쟁이 치열한 곳으로 평가할 수 있다."
중구,약수동,"중구 약수동은 대부분 조용하고 한적한 주택가로 유동인구 밀도가 높지 않다. 유동인구는 대체로 중, 노년층이 많으며, 주로 생활 서비스 업체들을 이용하는 경향이 있다. 특히, 유료 노인시설이 밀집한 지역이어서 한편으로는 의료형, 다른 한편으로는 생활서비스형 성향이 강하다는 특징이 있다. 해당 지역의 소득 수준은 중하위권으로, 교통 시설은 지하철 2호선과 경의선 등 교통편은 다양하나, 교통소외구역으로 분류되며 인접한 광화문이나 을지로 등 번화가 지역으로 활동이 이어지지는 않는다. 그래서 주변 배후 시설은 대부분 주택가와 직접 관련된 생활 상점, 지하철역 등이 위치하고 있으며, 비교적 공간적 한계가 있어 큰 규모의 매장들이 적은 편이다. 경쟁 환경은 경쟁과열로 보기 어렵고, 비교적 적당한 수준으로 판단된다."
중구,청구동,"중구 청구동은 다양한 사회 계층의 유동인구가 밀집한 지역으로, 주로 중소기업이 창업하기 좋은 지역으로 꼽히고 있습니다. 유동인구의 주 연령대는 20대와 30대가 주를 이루며, 주변에는 지하철역과 버스터미널 등 교통 수단이 잘 갖춰져 있어 교통 상권의 성격도 지니고 있습니다. 대체로 같은 중심지라도 면적이 넓기 때문에 상권은 주거지역과 사무실 지역이 반반 구성되어 있습니다. 대체로 저소득층보다는 중산층 이상의 소득층이 많고, 생활서비스형 소비성향은 높은 편입니다. 또한, 교육과 관련한 시설이 많은 대학가와도 가까워 청년층이 많은 편입니다. 이로 인해 음식점, 카페, 빵집 등 간편하게 즐길 수 있는 음식점이 많기 때문에 외식형 성향도 높은 지역이라고 할 수 있습니다. 상권 경쟁이 다른 지역에 비해 높은 편은 아니지만, 다양한 매장들이 입점하여 경쟁이 있음을 알 수 있습니다. "
중구,신당5동,"중구 신당5동은 서울 중심부의 대표적인 상업 지역으로, 유동인구가 상당히 많은 곳으로 파악된다. 대부분의 거주자가 중소기업 및 회사원으로, 주변 지역 교통시설이 잘 확보되어 있어 인근 번화가와 연계된 쇼핑동선이 매우 형성되어 있다. 주 고객층은 30대와 40대로, 유통형 및 생활서비스형 성향이 높고, 간단한 음식점, 식료품점, 병원, 약국, 종합병원 등의 배후 시설이 적극적으로 활용되고 있다. 또한 교통 시설 역시 지하철과 버스가 잘 연결되어 있어, 교통중심지상권임을 확인할 수 있다. 대체로 경쟁 환경은 비교적 느슨한 편이나, 최근 코로나19 대유행으로 온라인 쇼핑 등의 대안이 부각되면서 경쟁과열로 변화될 가능성이 있는 지역이다."
중구,동화동,"중구 동화동은 주변에 지하철 1, 2호선이 연결되어 대중교통이 발달한 지역으로, 유동인구가 매우 많은 곳이다. 대부분의 유동인구는 중·고학생들과 직장인들로, 주변에 중심업종별로 공공기관과 학교, 사무실이 밀집하여 유통업체, 오피스 텔 등 다양한 업종들이 혼재하고 있다. 유동인구의 연령대는 20대 후반부터 40대 초중반이 주도적이며, 소비 특성은 교육 형태의 문화생활과 서점, 커피 전문점 등 생활서비스 업소들을 선호한다. 해당 지역의 소득 수준은 중·중상위권으로, 추세적지향과 고정적지향이 함께 혼풍하고 있는 지역이다. 배후 시설은 대개 주변 지역에 대미문 건물, 아파트 및 주택가가 분포하고 있으며, 교통 중심상권에서 주변 학교 및 대학이 위치하고 있다. 경쟁 환경은 비교적 안정적이고 경쟁과열이나 경쟁이 없는 것이 아니라 활기차게 유지되고 있다."
